epoch,lr,tr_loss,tr_acc,vl_loss,vl_acc,vl_tpr,vl_tnr
1,0.002,0.008702,0.994618,0.004816,0.99817,1.0,0.996333
2,0.001789,0.004745,0.997707,0.003892,0.99815,1.0,0.996293
3,0.001578,0.003694,0.998007,0.003202,0.99818,1.0,0.996353
4,0.001367,0.003138,0.998009,0.002756,0.99818,1.0,0.996353
5,0.001156,0.00281,0.997973,0.013884,0.98598,0.976523,0.995472
6,0.000944,0.002723,0.99796,0.002434,0.99818,1.0,0.996353
7,0.000733,0.002554,0.998009,0.002335,0.99818,1.0,0.996353
8,0.000522,0.002465,0.998009,0.002254,0.99818,1.0,0.996353
9,0.000311,0.002399,0.998009,0.002201,0.99818,1.0,0.996353
10,0.0001,0.00236,0.998009,0.002179,0.99818,1.0,0.996353
