epoch,lr,tr_loss,tr_acc,vl_loss,vl_acc,vl_tpr,vl_tnr
1,0.002,0.007178,0.995937,0.003015,0.99988,1.0,0.99976
2,0.001789,0.002604,0.999708,0.002116,0.99976,0.99996,0.999559
3,0.001578,0.001693,0.999882,0.001596,0.99967,1.0,0.999339
4,0.001367,0.001242,0.999907,0.001071,0.99993,1.0,0.99986
5,0.001156,0.000954,0.999948,0.000883,0.99991,1.0,0.99982
6,0.000944,0.000774,0.999968,0.00069,0.99998,1.0,0.99996
7,0.000733,0.000655,0.999958,0.000634,0.99995,1.0,0.9999
8,0.000522,0.000583,0.999981,0.000545,0.99999,1.0,0.99998
9,0.000311,0.000524,0.999991,0.000505,0.99999,1.0,0.99998
10,0.0001,0.000493,0.999992,0.000485,0.99999,1.0,0.99998
