epoch,lr,tr_loss,tr_acc,vl_loss,vl_acc,vl_tpr,vl_tnr
1,0.002,0.253711,0.499881,0.252623,0.50072,0.20994,0.792444
2,0.001789,0.251827,0.499904,0.251177,0.49957,0.30858,0.69118
3,0.001578,0.250851,0.501836,0.250554,0.50022,0.766878,0.232697
4,0.001367,0.250427,0.501667,0.250371,0.50102,0.810447,0.190589
5,0.001156,0.250249,0.50338,0.250264,0.49898,0.565624,0.43212
6,0.000944,0.250161,0.504899,0.250243,0.49926,0.4322,0.566538
7,0.000733,0.250077,0.507416,0.250237,0.49839,0.434257,0.562732
8,0.000522,0.249956,0.51103,0.250365,0.49677,0.375292,0.618642
9,0.000311,0.249776,0.514801,0.250468,0.50094,0.315828,0.686652
10,0.0001,0.24958,0.518642,0.250674,0.49913,0.372976,0.625694
