epoch,lr,tr_loss,tr_acc,vl_loss,vl_acc,vl_tpr,vl_tnr
1,0.002,0.25359,0.498473,0.252396,0.50099,0.227235,0.774996
2,0.001789,0.25167,0.500559,0.251107,0.50133,0.873298,0.129019
3,0.001578,0.25075,0.500601,0.250484,0.50048,0.91366,0.08692
4,0.001367,0.250382,0.500078,0.250269,0.50065,0.781001,0.220041
5,0.001156,0.250233,0.500842,0.250173,0.50138,0.748416,0.254117
6,0.000944,0.250162,0.50012,0.250122,0.50135,0.726526,0.275967
7,0.000733,0.250124,0.50077,0.2501,0.50166,0.179937,0.823679
8,0.000522,0.250096,0.501568,0.250091,0.50115,0.264178,0.73834
9,0.000311,0.250067,0.503257,0.2501,0.50166,0.60808,0.395142
10,0.0001,0.250038,0.505573,0.250097,0.50237,0.522979,0.481742
