epoch,lr,tr_loss,tr_acc,vl_loss,vl_acc,vl_tpr,vl_tnr
1,0.002,0.253414,0.499919,0.252198,0.50095,0.824621,0.175201
2,0.001789,0.251458,0.499802,0.250869,0.50054,0.37801,0.623856
3,0.001578,0.250577,0.500037,0.250342,0.49901,0.24996,0.749659
4,0.001367,0.250252,0.500411,0.250183,0.49926,0.114115,0.886878
5,0.001156,0.250132,0.499657,0.2501,0.50129,0.974203,0.025341
6,0.000944,0.250078,0.50158,0.25009,0.50122,0.993062,0.00622
7,0.000733,0.250059,0.500247,0.250059,0.49866,0.109191,0.89063
8,0.000522,0.250041,0.501647,0.250042,0.49877,0.233812,0.765429
9,0.000311,0.250026,0.502286,0.25006,0.49853,0.265371,0.733186
10,0.0001,0.250012,0.502802,0.250052,0.49932,0.24378,0.756501
