rounds,byte_indices,fixed_key,n_samples,epochs,best_val_acc,best_val_loss
1,"[0, 13]",False,30000,8,0.991833,0.035536
1,"[0, 13]",True,30000,8,0.9905,0.034788
1,"[0, 1]",False,30000,8,0.510333,0.694219
1,"[0, 1]",True,30000,8,0.504667,0.695895
1,"[14, 15]",False,30000,8,0.998667,0.013021
1,"[14, 15]",True,30000,8,0.997667,0.010494
2,"[0, 13]",False,30000,8,0.501667,0.69648
2,"[0, 13]",True,30000,8,0.51,0.694718
2,"[0, 1]",False,30000,8,0.502833,0.695926
2,"[0, 1]",True,30000,8,0.504833,0.695308
2,"[14, 15]",False,30000,8,0.51,0.694166
2,"[14, 15]",True,30000,8,0.502167,0.695801
