epoch,lr,tr_loss,tr_acc,vl_loss,vl_acc,vl_tpr,vl_tnr
1,0.002,0.253405,0.500996,0.252226,0.49982,0.061456,0.938816
2,0.001789,0.251512,0.500378,0.250967,0.50103,0.357063,0.645205
3,0.001578,0.250653,0.50209,0.250448,0.50001,0.024582,0.976123
4,0.001367,0.250322,0.501996,0.250233,0.50154,0.698897,0.303899
5,0.001156,0.250191,0.503235,0.250212,0.50078,0.72228,0.278961
6,0.000944,0.250109,0.50595,0.250177,0.50176,0.643756,0.359559
7,0.000733,0.250019,0.508881,0.250311,0.4998,0.587817,0.411656
8,0.000522,0.249898,0.512788,0.250351,0.49967,0.517567,0.481747
9,0.000311,0.249715,0.517029,0.250486,0.49953,0.601147,0.397766
10,0.0001,0.249479,0.521378,0.250774,0.50018,0.585079,0.415159
