epoch,lr,tr_loss,tr_acc,vl_loss,vl_acc,vl_tpr,vl_tnr
1,0.002,0.253508,0.500578,0.252357,0.50066,0.150733,0.850713
2,0.001789,0.251617,0.500851,0.251102,0.49979,0.94611,0.05331
3,0.001578,0.250727,0.500543,0.250487,0.50148,0.638685,0.364226
4,0.001367,0.250361,0.500624,0.250271,0.50007,0.822212,0.177812
5,0.001156,0.250232,0.501345,0.250163,0.50049,0.956508,0.044308
6,0.000944,0.250166,0.499959,0.250162,0.49955,0.895279,0.103679
7,0.000733,0.250133,0.500759,0.250124,0.50067,0.879262,0.121942
8,0.000522,0.250126,0.499756,0.250108,0.49849,0.77564,0.22124
9,0.000311,0.250102,0.499817,0.250108,0.49976,0.738687,0.260747
10,0.0001,0.25009,0.50057,0.250087,0.50121,0.922514,0.079754
