epoch,lr,tr_loss,tr_acc,vl_loss,vl_acc,vl_tpr,vl_tnr
1,0.002,0.2536,0.498499,0.252356,0.49811,0.110502,0.888519
2,0.001789,0.251661,0.500184,0.251068,0.50114,0.676903,0.324107
3,0.001578,0.250724,0.500532,0.250525,0.50197,0.915723,0.085227
4,0.001367,0.250336,0.499772,0.250286,0.4982,0.0,1.0
5,0.001156,0.250168,0.500347,0.250159,0.4982,0.0,1.0
6,0.000944,0.250104,0.501481,0.250104,0.49819,0.525209,0.470976
7,0.000733,0.250078,0.499837,0.250061,0.5018,1.0,0.0
8,0.000522,0.250054,0.499576,0.250056,0.49815,0.119071,0.879968
9,0.000311,0.250039,0.500756,0.250041,0.49895,0.319649,0.679546
10,0.0001,0.250033,0.501472,0.250042,0.49697,0.35546,0.639502
