epoch,lr,tr_loss,tr_acc,vl_loss,vl_acc,vl_tpr,vl_tnr
1,0.002,0.253562,0.499912,0.252469,0.49943,0.798089,0.201749
2,0.001789,0.251665,0.500519,0.251064,0.50063,0.023999,0.9757
3,0.001578,0.250731,0.500674,0.250446,0.50305,0.344966,0.660617
4,0.001367,0.250358,0.501137,0.25029,0.49964,0.317901,0.680784
5,0.001156,0.250235,0.501047,0.250173,0.50049,0.81718,0.184837
6,0.000944,0.250163,0.500515,0.250138,0.50136,0.061421,0.939859
7,0.000733,0.250122,0.500578,0.250105,0.49921,0.998057,0.001997
8,0.000522,0.250093,0.500723,0.250076,0.50118,0.105934,0.895132
9,0.000311,0.250071,0.501955,0.25009,0.50131,0.05463,0.946528
10,0.0001,0.250059,0.502247,0.250071,0.50134,0.135242,0.866239
