label,rounds,N_train,best_epoch,test_acc,test_tpr,test_tnr,best_val_loss,time_sec
Table1_full_2r,2,1000000,7,0.49939,0.436473,0.561958,0.250237,452.2
Table1_full_3r,3,1000000,6,0.50158,0.643642,0.359898,0.250177,439.2
Table2_row3_3r,3,1000000,8,0.50171,0.263505,0.739724,0.250091,412.9
Table2_col3_3r,3,1000000,10,0.50118,0.924159,0.07776,0.250087,411.9
Table3_2b_14_15_3r,3,1000000,9,0.50183,0.748464,0.257102,0.250074,302.2
Table3_2b_0_1_3r,3,1000000,9,0.50068,0.674612,0.327269,0.250076,303.2
Table4_1b_15_2r,2,1000000,9,0.5015,0.527182,0.475784,0.250104,306.5
Table4_1b_14_2r,2,1000000,9,0.49997,0.318011,0.683618,0.250041,303.5
Table5_2b_14_15_2r,2,1000000,8,0.4996,0.235064,0.763406,0.250042,304.3
Table5_2b_0_1_2r,2,1000000,10,0.49848,0.131345,0.867042,0.250071,304.2
Table5_2b_0_13_2r,2,1000000,10,0.5007,0.401467,0.599565,0.250085,303.7
Bonus_2b_14_15_1r,1,1000000,10,0.99996,1.0,0.99992,0.000485,302.5
Bonus_1b_15_1r,1,1000000,10,0.99782,1.0,0.995652,0.002179,302.8
