subset_desc,rounds,n_samples,epochs,fixed_key,best_val_acc,best_val_loss,final_val_acc,train_time_sec
Full ciphertext (128 bits),1,30000,10,False,0.988667,0.038177,0.988667,11.1
Row 3 of state (bytes 12-15),1,30000,10,False,0.997,0.009923,0.996667,11.8
Row 0 of state (bytes 0-3),1,30000,10,False,0.512667,0.695071,0.506,14.0
"Column 3 of state (bytes 3,7,11,15)",1,30000,10,False,0.994333,0.019647,0.994333,12.2
"Column 0 of state (bytes 0,4,8,12)",1,30000,10,False,0.993333,0.025018,0.993333,13.2
"2 bytes [14,15] (best for delta_LSB)",1,30000,10,False,0.9995,0.002474,0.999167,11.9
"2 bytes [0,1]",1,30000,10,False,0.517833,0.693559,0.513667,11.9
"2 bytes [0,13] (AES-style)",1,30000,10,False,0.992667,0.030004,0.991167,11.7
1 byte [15] (LSB position),1,30000,10,False,0.9955,0.021833,0.9955,12.0
1 byte [14],1,30000,10,False,0.997333,0.01684,0.997167,14.2
Full ciphertext (128 bits),2,30000,10,False,0.5105,0.694699,0.508,12.6
Row 3 of state (bytes 12-15),2,30000,10,False,0.506167,0.694265,0.491333,12.5
Row 0 of state (bytes 0-3),2,30000,10,False,0.505167,0.694482,0.504,12.4
"Column 3 of state (bytes 3,7,11,15)",2,30000,10,False,0.513833,0.694488,0.502167,12.6
"Column 0 of state (bytes 0,4,8,12)",2,30000,10,False,0.508,0.697319,0.500833,12.6
"2 bytes [14,15] (best for delta_LSB)",2,30000,10,False,0.506167,0.697656,0.498833,12.3
"2 bytes [0,1]",2,30000,10,False,0.5065,0.695593,0.487167,12.7
"2 bytes [0,13] (AES-style)",2,30000,10,False,0.507167,0.695321,0.500167,12.1
1 byte [15] (LSB position),2,30000,10,False,0.508167,0.694964,0.496833,12.1
1 byte [14],2,30000,10,False,0.510333,0.695973,0.507,12.0
Full ciphertext (128 bits),3,30000,10,False,0.516,0.69423,0.494333,12.8
Row 3 of state (bytes 12-15),3,30000,10,False,0.513,0.696299,0.506667,12.4
Row 0 of state (bytes 0-3),3,30000,10,False,0.512333,0.69647,0.508667,12.4
"Column 3 of state (bytes 3,7,11,15)",3,30000,10,False,0.511333,0.695585,0.5015,12.3
"Column 0 of state (bytes 0,4,8,12)",3,30000,10,False,0.5015,0.698269,0.495333,12.6
"2 bytes [14,15] (best for delta_LSB)",3,30000,10,False,0.500833,0.69521,0.487667,12.5
"2 bytes [0,1]",3,30000,10,False,0.514833,0.69524,0.5,12.8
"2 bytes [0,13] (AES-style)",3,30000,10,False,0.507333,0.698024,0.5,12.5
1 byte [15] (LSB position),3,30000,10,False,0.5105,0.695384,0.504167,12.4
1 byte [14],3,30000,10,False,0.511333,0.697397,0.5025,12.6
"2 bytes [14,15]",1,30000,10,False,0.998167,0.00732,0.998167,12.2
"2 bytes [14,15]",1,30000,10,True,0.998833,0.005644,0.998833,12.2
"2 bytes [0,13]",1,30000,10,False,0.9935,0.030508,0.9935,12.3
"2 bytes [0,13]",1,30000,10,True,0.992833,0.031396,0.992167,12.3
"2 bytes [14,15]",2,30000,10,False,0.511333,0.694963,0.5025,12.3
"2 bytes [14,15]",2,30000,10,True,0.502833,0.696885,0.493167,12.0
"2 bytes [0,13]",2,30000,10,False,0.511833,0.694452,0.498333,12.2
"2 bytes [0,13]",2,30000,10,True,0.510833,0.694918,0.5045,12.2
"2 bytes [14,15]",1,1000,10,False,0.53,0.692616,0.515,0.5
"2 bytes [14,15]",1,2000,10,False,0.88,0.34488,0.88,1.0
"2 bytes [14,15]",1,5000,10,False,0.984,0.055094,0.984,2.0
"2 bytes [14,15]",1,10000,10,False,0.995,0.022249,0.995,3.9
"2 bytes [14,15]",1,20000,10,False,0.9965,0.012374,0.9955,8.2
"2 bytes [14,15]",1,50000,10,False,0.9989,0.004605,0.9987,19.9
"2 bytes [14,15]",1,100000,10,False,0.99955,0.002452,0.9992,39.7
