epoch,lr,tr_loss,tr_acc,vl_loss,vl_acc,vl_tpr,vl_tnr,epoch_sec
1,0.002,0.215598,0.615783,0.167449,0.74983,0.99996,0.50034,23.3
2,0.001789,0.167245,0.749709,0.166797,0.74983,1.0,0.5003,23.6
3,0.001578,0.166567,0.7497,0.166296,0.74983,1.0,0.5003,23.6
4,0.001367,0.166009,0.749751,0.166067,0.74984,1.0,0.50032,23.6
5,0.001156,0.165755,0.749708,0.165742,0.74983,1.0,0.5003,23.5
6,0.000944,0.165454,0.749756,0.165566,0.74983,0.99998,0.50032,23.9
7,0.000733,0.16507,0.749719,0.164993,0.74983,1.0,0.5003,23.8
8,0.000522,0.164364,0.749924,0.164256,0.75031,0.996756,0.504494,23.9
9,0.000311,0.16368,0.750349,0.163934,0.7504,0.994213,0.507211,23.7
10,0.0001,0.163227,0.750826,0.163662,0.75048,0.983579,0.517977,23.6
11,0.002,0.164751,0.749709,0.16492,0.74972,0.995434,0.504634,24.3
12,0.001789,0.164249,0.7503,0.164193,0.75092,0.979494,0.522931,21.7
13,0.001578,0.163913,0.750806,0.163951,0.75105,0.981336,0.521353,21.9
14,0.001367,0.163631,0.751137,0.163903,0.7512,0.978492,0.524489,22.2
15,0.001156,0.163468,0.751382,0.163504,0.75147,0.979193,0.524329,22.0
16,0.000944,0.163292,0.751548,0.163635,0.75159,0.981697,0.522072,22.0
17,0.000733,0.163137,0.751538,0.163329,0.75116,0.981817,0.521093,22.1
18,0.000522,0.162931,0.752034,0.163205,0.75186,0.983859,0.520454,22.0
19,0.000311,0.162546,0.752674,0.162618,0.75313,0.990508,0.516359,22.1
20,0.0001,0.161962,0.753444,0.162274,0.75345,0.993271,0.514242,22.0
