epoch,lr,tr_loss,tr_acc,vl_loss,vl_acc,vl_tpr,vl_tnr,epoch_sec
1,0.002,0.251246,0.503549,0.250824,0.50362,0.223576,0.786445,29.2
2,0.001789,0.182936,0.707686,0.167212,0.75103,1.0,0.499588,29.6
3,0.001578,0.157475,0.767959,0.101237,0.87353,0.993393,0.752477,30.1
4,0.001367,0.100265,0.875371,0.100084,0.87586,1.0,0.750487,30.0
5,0.001156,0.100118,0.875349,0.100361,0.87587,1.0,0.750508,29.7
6,0.000944,0.100094,0.875316,0.09988,0.87586,1.0,0.750487,29.9
7,0.000733,0.099966,0.875392,0.099824,0.87586,1.0,0.750487,30.0
8,0.000522,0.099886,0.875397,0.099743,0.87584,0.99996,0.750487,29.8
9,0.000311,0.099816,0.875404,0.099693,0.87586,1.0,0.750487,29.9
10,0.0001,0.099723,0.875398,0.099696,0.87586,1.0,0.750487,30.1
11,0.002,0.100463,0.874933,0.10209,0.87227,0.99803,0.745262,29.7
12,0.001789,0.100127,0.875263,0.099933,0.87586,1.0,0.750487,29.9
13,0.001578,0.099975,0.87539,0.099833,0.87586,1.0,0.750487,30.1
14,0.001367,0.099975,0.875322,0.099802,0.87586,1.0,0.750487,30.0
15,0.001156,0.099865,0.875367,0.099702,0.87586,1.0,0.750487,30.1
16,0.000944,0.099817,0.875353,0.099611,0.87583,1.0,0.750427,30.3
17,0.000733,0.099756,0.875361,0.099569,0.87586,1.0,0.750487,29.9
18,0.000522,0.099678,0.875407,0.099521,0.87586,1.0,0.750487,30.1
19,0.000311,0.099622,0.875406,0.099517,0.87586,1.0,0.750487,30.4
20,0.0001,0.099577,0.8754,0.099497,0.87586,1.0,0.750487,29.9
