epoch,lr,tr_loss,tr_acc,vl_loss,vl_acc,vl_tpr,vl_tnr,epoch_sec
1,0.002,0.005592,0.994024,0.001114,0.99977,0.99994,0.999599,29.0
2,0.001789,0.000998,0.99976,0.00112,0.99956,0.999581,0.999539,30.1
3,0.001578,0.000843,0.999795,0.000715,0.99991,1.0,0.99982,29.6
4,0.001367,0.000638,0.999927,0.000648,0.99989,1.0,0.999779,29.7
5,0.001156,0.000611,0.999895,0.000536,0.99996,1.0,0.99992,30.3
6,0.000944,0.000529,0.999934,0.000461,0.99999,1.0,0.99998,29.7
7,0.000733,0.000452,0.99997,0.00042,0.99998,1.0,0.99996,30.7
8,0.000522,0.00038,0.999998,0.000353,1.0,1.0,1.0,30.1
9,0.000311,0.000334,1.0,0.000316,1.0,1.0,1.0,29.6
10,0.0001,0.000308,1.0,0.000299,1.0,1.0,1.0,30.1
11,0.002,0.000897,0.999633,0.000756,0.99982,1.0,0.999639,30.0
12,0.001789,0.000678,0.999866,0.000665,0.99989,0.99992,0.99986,30.0
13,0.001578,0.000604,0.999913,0.000528,0.99998,1.0,0.99996,30.0
14,0.001367,0.000547,0.999938,0.000497,0.99998,1.0,0.99996,29.7
15,0.001156,0.000493,0.999951,0.000745,0.9997,1.0,0.999399,29.7
16,0.000944,0.000511,0.999956,0.000434,1.0,1.0,1.0,29.8
17,0.000733,0.000421,0.999986,0.000389,1.0,1.0,1.0,29.6
18,0.000522,0.000375,0.999992,0.000346,1.0,1.0,1.0,30.4
19,0.000311,0.000331,1.0,0.000315,1.0,1.0,1.0,29.6
20,0.0001,0.000308,1.0,0.000301,1.0,1.0,1.0,29.8
