epoch,lr,tr_loss,tr_acc,vl_loss,vl_acc,vl_tpr,vl_tnr,epoch_sec
1,0.002,0.251296,0.500219,0.250929,0.49955,0.135137,0.865819,30.2
2,0.001789,0.250677,0.500513,0.250496,0.49901,0.908333,0.087603,30.7
3,0.001578,0.250401,0.500648,0.250311,0.49792,0.142578,0.855072,31.0
4,0.001367,0.250256,0.501752,0.250388,0.50004,0.851058,0.147234,31.5
5,0.001156,0.250191,0.502154,0.250199,0.49816,0.325274,0.671927,31.0
6,0.000944,0.250172,0.503388,0.250177,0.49982,0.045704,0.956249,31.3
7,0.000733,0.250129,0.504747,0.250196,0.49974,0.47236,0.527259,31.3
8,0.000522,0.250085,0.506933,0.250242,0.49849,0.481637,0.515429,31.7
9,0.000311,0.249994,0.509881,0.250218,0.49931,0.448222,0.550659,31.6
10,0.0001,0.249873,0.51394,0.250396,0.50005,0.50797,0.49209,30.6
11,0.002,0.250289,0.504194,0.250469,0.49986,0.455443,0.544503,31.3
12,0.001789,0.250186,0.505748,0.250223,0.49979,0.504658,0.494897,33.4
13,0.001578,0.250188,0.504918,0.250231,0.5002,0.837014,0.161671,35.0
14,0.001367,0.250156,0.505553,0.250249,0.49754,0.46442,0.530828,31.1
15,0.001156,0.250119,0.506378,0.250196,0.49817,0.666268,0.329216,30.9
16,0.000944,0.250085,0.508357,0.250232,0.50035,0.574182,0.426142,30.9
17,0.000733,0.250015,0.510275,0.250251,0.49913,0.702915,0.294308,31.1
18,0.000522,0.249932,0.512644,0.250283,0.50018,0.48826,0.512161,32.7
19,0.000311,0.249788,0.515469,0.250487,0.49793,0.495162,0.500712,32.6
20,0.0001,0.249616,0.518744,0.250639,0.49986,0.504898,0.494797,30.9
