epoch,lr,tr_loss,tr_acc,vl_loss,vl_acc,vl_tpr,vl_tnr,epoch_sec
1,0.002,0.251234,0.500089,0.250858,0.49901,0.472794,0.525311,27.6
2,0.001789,0.250653,0.501139,0.250448,0.50003,0.176374,0.824736,29.2
3,0.001578,0.250382,0.499922,0.250248,0.49965,0.700405,0.298243,28.9
4,0.001367,0.250244,0.500201,0.2502,0.50267,0.922665,0.081312,29.1
5,0.001156,0.25018,0.49961,0.250136,0.50271,0.865638,0.138605,29.1
6,0.000944,0.250154,0.501021,0.25046,0.50261,0.906611,0.097298,29.0
7,0.000733,0.250121,0.501229,0.250154,0.49886,0.586829,0.410605,29.0
8,0.000522,0.250106,0.501481,0.250131,0.5028,0.727442,0.277429,28.9
9,0.000311,0.250082,0.502775,0.250067,0.50166,0.380204,0.62351,29.4
10,0.0001,0.250052,0.503981,0.250066,0.50186,0.55548,0.448066,29.3
11,0.002,0.250218,0.501117,0.250184,0.49937,0.002396,0.997957,29.4
12,0.001789,0.250198,0.500025,0.250131,0.50081,1.0,0.0,28.9
13,0.001578,0.250207,0.499263,0.250179,0.49986,0.392165,0.607905,29.2
14,0.001367,0.250211,0.500286,0.250164,0.50115,0.170304,0.83307,29.9
15,0.001156,0.250157,0.499744,0.25016,0.49908,0.005451,0.994311,28.8
16,0.000944,0.250128,0.499692,0.250124,0.49919,0.0,1.0,29.0
17,0.000733,0.250105,0.499676,0.250123,0.50091,0.972065,0.028226,29.4
18,0.000522,0.250081,0.500796,0.250054,0.49958,0.003295,0.997476,29.3
19,0.000311,0.250062,0.49941,0.25005,0.49893,0.001957,0.997516,29.1
20,0.0001,0.250043,0.500273,0.250037,0.5023,0.887462,0.115888,29.2
