epoch,lr,tr_loss,tr_acc,vl_loss,vl_acc,vl_tpr,vl_tnr,epoch_sec
1,0.002,0.251154,0.500074,0.250722,0.50054,0.865063,0.134702,22.2
2,0.001789,0.250578,0.500078,0.250413,0.50058,0.893572,0.106171,25.0
3,0.001578,0.250315,0.500802,0.250221,0.50008,0.212318,0.78888,22.1
4,0.001367,0.250197,0.500416,0.250103,0.5009,1.0,0.0,22.0
5,0.001156,0.250138,0.501195,0.250122,0.50022,0.164963,0.836686,21.9
6,0.000944,0.250113,0.500159,0.250067,0.50009,0.115073,0.886496,22.3
7,0.000733,0.250098,0.499851,0.25005,0.50032,0.702216,0.297696,21.8
8,0.000522,0.250072,0.499675,0.250073,0.49891,0.403134,0.595031,21.9
9,0.000311,0.250066,0.500298,0.250072,0.4991,0.0,1.0,21.9
10,0.0001,0.250049,0.501103,0.250064,0.49888,0.32212,0.676277,21.9
11,0.002,0.250232,0.499961,0.250138,0.50079,0.8891,0.11108,21.9
12,0.001789,0.250153,0.499524,0.250101,0.5009,1.0,0.0,22.0
13,0.001578,0.250129,0.500023,0.250125,0.5009,1.0,0.0,22.5
14,0.001367,0.250105,0.499757,0.250265,0.5003,0.708165,0.291685,22.1
15,0.001156,0.25008,0.499514,0.250098,0.4991,0.0,1.0,21.9
16,0.000944,0.250067,0.499276,0.250086,0.49945,0.003653,0.997035,21.9
17,0.000733,0.25007,0.50074,0.250056,0.50065,0.759573,0.240793,21.8
18,0.000522,0.250049,0.50031,0.250028,0.50257,0.872529,0.131276,21.8
19,0.000311,0.250039,0.499373,0.250034,0.4995,0.871192,0.126468,22.2
20,0.0001,0.25003,0.500777,0.250032,0.5001,0.212218,0.78902,21.9
