epoch,lr,tr_loss,tr_acc,vl_loss,vl_acc,vl_tpr,vl_tnr,epoch_sec
1,0.002,0.251276,0.500946,0.250882,0.5011,0.129897,0.872437,22.2
2,0.001789,0.250696,0.498622,0.250558,0.49879,0.829411,0.16805,22.3
3,0.001578,0.250367,0.500137,0.250288,0.49942,0.94631,0.052369,22.3
4,0.001367,0.2502,0.500202,0.250197,0.50069,0.94521,0.05601,22.3
5,0.001156,0.250145,0.500528,0.250111,0.50053,0.970345,0.030545,22.1
6,0.000944,0.250113,0.499829,0.25013,0.50124,0.705833,0.296573,22.1
7,0.000733,0.250083,0.500802,0.250061,0.49967,0.040793,0.958713,22.0
8,0.000522,0.250078,0.498977,0.250047,0.50126,0.878202,0.124182,22.1
9,0.000311,0.250055,0.500601,0.250045,0.501,0.977204,0.024624,22.2
10,0.0001,0.250038,0.501193,0.250027,0.50406,0.456058,0.552079,22.2
11,0.002,0.250227,0.500173,0.250133,0.49994,0.004699,0.995359,22.2
12,0.001789,0.250103,0.500259,0.250088,0.50073,0.798416,0.202937,22.2
13,0.001578,0.250089,0.499993,0.250043,0.49914,0.173629,0.824768,22.0
14,0.001367,0.250062,0.499472,0.250049,0.50009,1.0,0.0,22.1
15,0.001156,0.25005,0.500629,0.250056,0.49961,0.926113,0.072953,22.5
16,0.000944,0.250063,0.500395,0.250034,0.50009,1.0,0.0,23.6
17,0.000733,0.250029,0.500193,0.250026,0.49991,0.0,1.0,21.8
18,0.000522,0.250021,0.500315,0.250014,0.49992,0.067668,0.932328,21.8
19,0.000311,0.250014,0.500977,0.250025,0.49943,0.581515,0.417315,22.3
20,0.0001,0.250011,0.502258,0.250028,0.49825,0.66436,0.33208,22.4
