epoch,lr,tr_loss,tr_acc,vl_loss,vl_acc,vl_tpr,vl_tnr,epoch_sec
1,0.002,0.251191,0.500577,0.250761,0.50049,0.79712,0.201394,21.3
2,0.001789,0.250647,0.499819,0.250464,0.50045,0.577987,0.422268,21.1
3,0.001578,0.250367,0.49973,0.250461,0.50257,0.633637,0.370414,21.9
4,0.001367,0.250221,0.500291,0.250212,0.50183,0.994284,0.005282,22.0
5,0.001156,0.250143,0.50037,0.250108,0.49881,0.063039,0.938204,22.0
6,0.000944,0.250129,0.50068,0.250051,0.50213,0.969427,0.030948,22.0
7,0.000733,0.250094,0.500141,0.250088,0.5008,0.899317,0.09897,22.1
8,0.000522,0.250082,0.499992,0.25005,0.49874,0.02167,0.979776,22.0
9,0.000311,0.250083,0.499738,0.250056,0.50143,0.866214,0.133613,22.6
10,0.0001,0.250055,0.500879,0.250057,0.50028,0.624295,0.375233,22.0
11,0.002,0.250229,0.500123,0.250196,0.50345,0.671181,0.334324,21.9
12,0.001789,0.250182,0.499555,0.250151,0.50217,0.650826,0.352278,21.9
13,0.001578,0.250107,0.500314,0.250081,0.49793,0.0,1.0,22.0
14,0.001367,0.250057,0.499528,0.250048,0.49989,0.489832,0.510032,21.9
15,0.001156,0.25006,0.500455,0.250063,0.49943,0.059474,0.943044,22.0
16,0.000944,0.250058,0.499327,0.250037,0.50207,1.0,0.0,22.2
17,0.000733,0.250041,0.501272,0.250034,0.50207,1.0,0.0,22.1
18,0.000522,0.250026,0.500064,0.250013,0.50158,0.867568,0.132549,22.0
19,0.000311,0.250017,0.500591,0.250024,0.50042,0.71984,0.279176,21.9
20,0.0001,0.250011,0.500896,0.250012,0.49964,0.495449,0.503866,21.8
