label,rounds,N_train,best_epoch,test_acc,test_tpr,test_tnr,best_val_loss,time_sec
T2_col0_3r,3,1000000,20,0.49917,0.886083,0.114402,0.250037,581.7
T2_col1_3r,3,1000000,20,0.49962,0.90317,0.09715,0.250021,588.1
T3_2b_0_8_xword_3r,3,1000000,20,0.49754,0.841777,0.153579,0.250018,443.8
T3_2b_7_15_xword_3r,3,1000000,18,0.50011,0.067565,0.933105,0.250014,444.8
T3_2b_0_1_sword_3r,3,1000000,18,0.4982,0.868731,0.130534,0.250028,442.8
T4_1b_0_2r,2,1000000,20,0.49924,0.499209,0.499271,0.250012,438.6
T4_1b_15_2r,2,1000000,20,0.50034,1.0,0.0,0.250004,440.7
T4_1b_8_2r,2,1000000,18,0.50188,0.946905,0.052724,0.250005,421.4
T5_2b_0_8_xword_2r,2,1000000,18,0.49931,1.0,0.0,0.250001,471.8
T5_2b_1_9_xword_2r,2,1000000,17,0.50313,0.927002,0.077611,0.25001,467.6
T5_2b_7_15_xword_2r,2,1000000,18,0.49977,0.090709,0.907312,0.250008,474.5
T5_2b_0_1_sword_2r,2,1000000,19,0.50161,0.799194,0.205225,0.250018,469.1
T5_2b_8_9_sword_2r,2,1000000,20,0.50212,0.8395,0.166584,0.250013,480.3
T1_full_2r,2,1000000,6,0.50169,0.043443,0.956922,0.250177,630.9
T1_full_3r,3,1000000,17,0.49853,0.532879,0.464263,0.250113,634.7
Bonus_2b_0_1_1r,1,1000000,20,0.7514,0.993647,0.51013,0.162274,459.1
Bonus_col0_1r,1,1000000,20,0.87508,1.0,0.748925,0.099497,598.7
Bonus_col1_1r_CONTROL,1,1000000,10,1.0,1.0,1.0,0.000299,597.6
