epoch,lr,train_loss,train_acc,val_loss,val_acc,val_tpr,val_tnr
1,0.002,0.003463,0.997633,0.002408,0.997981,1.0,0.99596
2,0.001789,0.002268,0.998012,0.002263,0.997981,1.0,0.99596
3,0.001578,0.002177,0.998034,0.002219,0.997981,1.0,0.99596
4,0.001367,0.002164,0.998024,0.002215,0.997981,1.0,0.99596
5,0.001156,0.002138,0.998048,0.002195,0.997981,1.0,0.99596
6,0.000944,0.002142,0.998035,0.002197,0.997981,1.0,0.99596
7,0.000733,0.002132,0.998042,0.00222,0.997946,1.0,0.99589
8,0.000522,0.002116,0.998055,0.00219,0.997981,1.0,0.99596
9,0.000311,0.002113,0.998058,0.002187,0.997981,1.0,0.99596
10,0.0001,0.002104,0.998062,0.002181,0.997981,1.0,0.99596
11,0.002,0.002303,0.997867,0.002541,0.997965,1.0,0.995928
12,0.001789,0.002148,0.998046,0.002202,0.997981,1.0,0.99596
13,0.001578,0.00219,0.998004,0.002219,0.997981,1.0,0.99596
14,0.001367,0.002163,0.998034,0.002216,0.997981,1.0,0.99596
15,0.001156,0.002143,0.998047,0.002206,0.997981,1.0,0.99596
16,0.000944,0.002136,0.998047,0.002791,0.997903,1.0,0.995804
17,0.000733,0.00214,0.998041,0.002192,0.997981,1.0,0.99596
18,0.000522,0.002123,0.998051,0.002191,0.997981,1.0,0.99596
19,0.000311,0.002113,0.998058,0.002186,0.997981,1.0,0.99596
20,0.0001,0.002107,0.998062,0.002183,0.997981,1.0,0.99596
