epoch,lr,train_loss,train_acc,val_loss,val_acc,val_tpr,val_tnr
1,0.002,0.001775,0.999417,0.000519,0.999959,1.0,0.999918
2,0.001789,0.000437,0.999943,0.000342,0.999994,1.0,0.999988
3,0.001578,0.00036,0.99996,0.000342,0.999968,1.0,0.999936
4,0.001367,0.000327,0.999963,0.145923,0.785637,0.571766,0.99999
5,0.001156,0.000309,0.999966,0.007093,0.993132,0.986301,0.999978
6,0.000944,0.000282,0.999976,0.000255,0.999989,1.0,0.999978
7,0.000733,0.000266,0.999977,0.000251,0.999982,1.0,0.999964
8,0.000522,0.000246,0.999984,0.000227,0.999996,1.0,0.999992
9,0.000311,0.000233,0.999985,0.000227,0.999987,1.0,0.999974
10,0.0001,0.000222,0.999989,0.000212,0.999996,1.0,0.999992
11,0.002,0.00047,0.999774,0.000325,0.999951,1.0,0.999902
12,0.001789,0.000384,0.999902,0.000314,0.999976,1.0,0.999952
13,0.001578,0.000382,0.999913,0.000322,0.999976,1.0,0.999952
14,0.001367,0.000372,0.999919,0.000309,0.999982,1.0,0.999964
15,0.001156,0.000327,0.99996,0.000357,0.999908,1.0,0.999816
16,0.000944,0.000322,0.999952,0.000607,0.999606,1.0,0.999211
17,0.000733,0.000303,0.999967,0.000316,0.999945,1.0,0.99989
18,0.000522,0.000285,0.999974,0.000269,0.99998,1.0,0.99996
19,0.000311,0.000269,0.999981,0.000258,0.999984,1.0,0.999968
20,0.0001,0.000256,0.999988,0.000243,0.999994,1.0,0.999988
